"entry_time","temperature","ph","conductivity","moisture","salinity","tds"
"2024-05-11 13:11:18.502",218,76,1094,552,0,0
"2024-05-11 13:12:18.519",218,76,1092,578,0,0
"2024-05-11 13:13:18.536",218,76,1091,552,0,0
"2024-05-11 13:14:18.554",218,76,1094,558,0,0
"2024-05-11 13:15:18.572",218,76,1093,554,0,0
"2024-05-11 13:16:18.588",218,76,1091,534,0,0
"2024-05-11 13:17:18.605",218,76,1093,560,0,0
"2024-05-11 13:18:18.623",218,76,1093,560,0,0
"2024-05-11 13:19:18.64",218,76,1093,546,0,0
"2024-05-11 13:20:18.657",218,76,1092,534,0,0
"2024-05-11 13:21:18.674",218,76,1092,560,0,0
"2024-05-11 13:22:18.691",218,76,1092,550,0,0
"2024-05-11 13:23:18.708",218,76,1092,572,0,0
"2024-05-11 13:24:18.726",218,76,1093,532,0,0
"2024-05-11 13:25:18.742",217,76,1091,554,0,0
"2024-05-11 13:26:18.764",217,76,1093,534,0,0
"2024-05-11 13:27:18.776",217,76,1093,534,0,0
"2024-05-11 13:28:18.793",218,76,1092,605,0,0
"2024-05-11 13:29:18.812",217,76,1093,534,0,0
"2024-05-11 13:30:18.828",217,76,1093,552,0,0
"2024-05-11 13:31:18.845",217,76,1093,570,0,0
"2024-05-11 13:32:18.862",217,76,1091,554,0,0
"2024-05-11 13:33:18.88",217,76,1092,566,0,0
"2024-05-11 13:34:18.897",217,76,1092,534,0,0
"2024-05-11 13:35:18.914",217,76,1092,550,0,0
"2024-05-11 13:36:18.931",217,76,1092,546,0,0
"2024-05-11 13:37:18.949",217,76,1091,550,0,0
"2024-05-11 13:38:18.966",218,76,1092,554,0,0
"2024-05-11 13:39:18.983",217,76,1090,532,0,0
"2024-05-11 13:40:19",217,76,1091,546,0,0
"2024-05-11 13:41:19.018",217,76,1091,556,0,0
"2024-05-11 13:42:19.034",217,76,1091,540,0,0
"2024-05-11 13:43:19.053",217,76,1092,536,0,0
"2024-05-11 13:44:19.074",217,76,1092,534,0,0
"2024-05-11 13:45:19.086",217,76,1090,536,0,0
"2024-05-11 13:46:19.103",217,76,1091,546,0,0
"2024-05-11 13:47:19.12",217,76,1092,534,0,0
"2024-05-11 13:48:19.137",217,76,1090,554,0,0
"2024-05-11 13:49:19.154",217,76,1090,556,0,0
"2024-05-11 13:50:19.172",217,76,1090,534,0,0
"2024-05-11 13:51:19.189",217,76,1090,554,0,0
"2024-05-11 13:52:19.206",217,76,1091,554,0,0
"2024-05-11 13:53:19.223",217,76,1091,554,0,0
"2024-05-11 13:54:19.24",216,76,1090,586,0,0
"2024-05-11 13:55:19.257",217,76,1091,554,0,0
"2024-05-11 13:56:19.274",217,76,1091,558,0,0
"2024-05-11 13:57:19.292",217,76,1089,558,0,0
"2024-05-11 13:58:19.313",217,76,1090,560,0,0
"2024-05-11 13:59:19.326",217,76,1091,554,0,0
"2024-05-11 14:00:19.344",217,76,1089,598,0,0
"2024-05-11 14:01:19.361",216,76,1088,558,0,0
"2024-05-11 14:02:19.377",216,76,1089,554,0,0
"2024-05-11 14:03:19.395",216,75,1090,560,0,0
"2024-05-11 14:04:19.411",216,75,1091,560,0,0
"2024-05-11 14:05:19.429",216,76,1089,534,0,0
"2024-05-11 14:06:19.446",216,76,1090,554,0,0
"2024-05-11 14:07:19.463",216,76,1090,536,0,0
"2024-05-11 14:08:19.48",216,76,1087,570,0,0
"2024-05-11 14:09:19.498",216,76,1089,546,0,0
"2024-05-11 14:10:19.515",216,76,1090,562,0,0
"2024-05-11 14:11:19.531",216,75,1090,560,0,0
"2024-05-11 14:12:19.55",216,76,1089,558,0,0
"2024-05-11 14:13:19.566",216,76,1090,554,0,0
"2024-05-11 14:14:19.584",216,76,1089,534,0,0
"2024-05-11 14:15:19.6",216,75,1089,558,0,0
"2024-05-11 14:16:19.617",216,76,1087,554,0,0
"2024-05-11 14:17:19.636",216,76,1088,536,0,0
"2024-05-11 14:18:19.651",216,76,1089,532,0,0
"2024-05-11 14:19:19.67",216,76,1089,534,0,0
"2024-05-11 14:20:19.688",216,76,1088,558,0,0
"2024-05-11 14:21:19.704",216,76,1089,546,0,0
"2024-05-11 14:22:19.721",216,76,1089,552,0,0
"2024-05-11 14:23:19.737",216,76,1087,562,0,0
"2024-05-11 14:24:19.755",216,76,1087,554,0,0
"2024-05-11 14:25:19.772",216,76,1087,556,0,0
"2024-05-11 14:26:19.79",216,75,1089,586,0,0
"2024-05-11 14:27:19.807",216,76,1087,534,0,0
"2024-05-11 14:28:19.824",216,76,1088,546,0,0
"2024-05-11 14:29:19.841",216,75,1087,560,0,0
"2024-05-11 14:30:19.861",216,75,1088,558,0,0
"2024-05-11 14:31:19.876",216,76,1089,562,0,0
"2024-05-11 14:32:19.892",216,75,1087,558,0,0
"2024-05-11 14:33:19.91",216,76,1087,546,0,0
"2024-05-11 14:34:19.927",216,76,1088,546,0,0
"2024-05-11 14:35:19.944",216,76,1088,554,0,0
"2024-05-11 14:36:19.961",216,76,1087,536,0,0
"2024-05-11 14:37:19.978",216,76,1087,534,0,0
"2024-05-11 14:38:19.995",216,75,1087,560,0,0
"2024-05-11 14:39:20.012",216,75,1086,552,0,0
"2024-05-11 14:40:20.03",216,76,1086,556,0,0
"2024-05-11 14:41:20.047",216,76,1086,546,0,0
"2024-05-11 14:42:20.063",216,76,1086,554,0,0
"2024-05-11 14:43:20.081",215,76,1087,560,0,0
"2024-05-11 14:44:20.098",216,76,1087,534,0,0
"2024-05-11 14:45:20.115",215,76,1087,552,0,0
"2024-05-11 14:46:20.133",216,76,1086,536,0,0
"2024-05-11 14:47:20.149",215,76,1088,572,0,0
"2024-05-11 14:48:20.169",215,76,1086,534,0,0
